"Player","Team","Positions","IP","K","W","SV","ERA","WHIP","ER","H","BB","HR","G","GS","L","CG"
"Shohei Ohtani","LAD","SP,DH","114.5","138","8","0","3.36","1.10","43","89","38","14","23","23","5","1"
"Tarik Skubal","DET","SP","195.1","238","14","0","2.72","0.96","59","148","40","19","31","31","7","1"
"Paul Skenes","PIT","SP","186.9","222","14","0","2.77","1.03","57","145","48","16","31","31","7","1"
"Garrett Crochet","BOS","SP","186.2","229","14","0","2.99","1.06","62","150","47","20","31","31","7","1"
"Cristopher Sanchez","PHI","SP","193.2","188","13","0","3.19","1.14","68","173","47","17","31","31","8","1"
"Yoshinobu Yamamoto","LAD","SP","157.7","172","12","0","3.27","1.11","57","127","47","16","27","27","6","0"
"Hunter Brown","HOU","SP","180.5","195","13","0","3.43","1.17","69","153","59","19","31","31","8","1"
"Chris Sale","ATL","SP","157.6","192","11","0","3.24","1.10","57","130","42","17","27","27","6","0"
"Logan Gilbert","SEA","SP","166.2","185","11","0","3.42","1.06","63","137","39","21","29","29","7","1"
"Logan Webb","SF","SP","198.0","188","14","0","3.26","1.17","72","186","45","16","32","32","9","1"
"Jacob deGrom","TEX","SP","160.3","177","11","0","3.47","1.06","62","131","38","22","28","28","8","0"
"Bryan Woo","SEA","SP","186.6","188","13","0","3.40","1.05","70","157","40","24","31","31","9","0"
"Hunter Greene","CIN","SP","169.2","203","11","0","3.68","1.11","69","133","55","24","29","29","8","1"
"Cole Ragans","KC","SP","155.8","193","10","0","3.39","1.14","59","123","55","17","28","28","7","0"
"Max Fried","NYY","SP","182.6","172","13","0","3.31","1.16","67","159","53","17","30","30","8","1"
"Freddy Peralta","NYM","SP","166.0","184","12","0","3.79","1.20","70","137","62","22","30","30","8","0"
"Joe Ryan","MIN","SP","169.8","186","11","0","3.78","1.10","71","147","40","25","29","29","9","0"
"George Kirby","SEA","SP","172.0","168","12","0","3.59","1.11","69","157","33","21","30","30","9","0"
"Dylan Cease","TOR","SP","176.3","208","11","0","3.74","1.21","73","146","67","21","31","31","9","0"
"Blake Snell","LAD","SP","140.7","174","10","0","3.46","1.21","54","109","61","15","26","26","6","0"
"Spencer Schwellenbach","ATL","SP","160.6","158","11","0","3.53","1.11","63","145","34","19","27","27","7","1"
"Jesus Luzardo","PHI","SP","175.2","196","12","0","3.71","1.18","72","152","55","22","31","31","9","0"
"Framber Valdez","DET","SP","183.7","173","13","0","3.49","1.23","71","164","61","16","30","30","9","2"
"Kyle Bradish","BAL","SP","145.5","155","9","0","3.57","1.18","58","125","46","16","27","27","7","0"
"Nick Pivetta","SD","SP","176.3","191","11","0","3.91","1.16","77","151","53","27","30","30","10","0"
"Mason Miller","SD","RP","67.0","105","4","33","2.58","0.98","19","40","25","6","63","0","2","0"
"Pablo Lopez","MIN","SP","164.7","165","11","0","3.82","1.19","70","154","42","20","28","28","9","0"
"Nolan McLean","NYM","SP","149.2","143","10","0","3.83","1.28","64","133","59","16","26","26","8","0"
"Andres Munoz","SEA","RP","64.0","81","4","32","2.88","1.11","20","46","25","5","63","0","3","0"
"Tyler Glasnow","LAD","SP","132.0","154","9","0","3.69","1.17","54","106","48","16","24","24","6","0"
"Edwin Diaz","LAD","RP","67.6","94","5","37","3.05","1.06","23","48","23","7","66","0","2","0"
"Spencer Strider","ATL","SP","155.2","184","11","0","3.95","1.21","68","133","54","21","28","28","8","0"
"Kevin Gausman","TOR","SP","181.0","177","12","0","3.95","1.21","79","166","53","24","31","31","9","1"
"Sonny Gray","BOS","SP","172.0","180","11","0","3.73","1.19","71","159","45","21","30","30","9","0"
"Eury Perez","MIA","SP","140.7","154","8","0","3.96","1.18","62","118","48","20","27","27","8","0"
"Jhoan Duran","PHI","RP","68.5","80","5","32","2.86","1.11","22","55","21","5","68","0","3","0"
"Brandon Woodruff","MIL","SP","146.3","154","10","0","3.77","1.13","61","125","40","21","27","27","7","0"
"Cade Smith","CLE","RP","71.1","92","5","31","2.93","1.06","23","55","21","6","70","0","3","0"
"Luis Castillo","SEA","SP","178.0","166","11","0","3.88","1.20","77","162","51","24","31","31","9","0"
"Trey Yesavage","TOR","SP","131.0","150","7","0","3.85","1.25","56","107","57","16","30","24","6","0"
"Sandy Alcantara","MIA","SP","178.4","147","10","0","4.17","1.27","83","173","53","21","30","30","11","1"
"Nathan Eovaldi","TEX","SP","163.4","156","11","0","3.58","1.14","65","145","41","19","27","27","8","1"
"Cam Schlittler","NYY","SP","126.9","128","8","0","4.01","1.29","57","113","50","16","24","24","7","0"
"Shane Bieber","TOR","SP","134.1","123","8","0","3.84","1.19","57","127","33","18","24","24","7","0"
"Robbie Ray","SF","SP","170.5","175","10","0","4.20","1.28","80","152","66","25","30","30","10","1"
"Jacob Misiorowski","MIL","SP","141.5","164","8","0","3.91","1.27","62","114","66","17","34","25","7","0"
"Michael King","SD","SP","163.3","170","10","0","3.82","1.24","69","144","58","21","30","30","9","1"
"Nick Lodolo","CIN","SP","150.3","151","9","0","4.03","1.19","67","139","40","21","28","28","8","1"
"Ryan Pepiot","TB","SP","166.9","169","10","0","4.13","1.23","77","146","59","25","31","31","10","0"
"David Bednar","NYY","RP","65.1","79","4","32","3.29","1.12","24","51","22","7","65","0","3","0"
"Gavin Williams","CLE","SP","165.8","168","10","0","3.96","1.30","73","145","71","21","30","30","9","0"
"Josh Hader","HOU","RP","65.1","91","4","33","3.24","1.07","23","45","24","8","62","0","3","0"
"Zack Wheeler","PHI","SP","125.8","143","9","0","3.27","1.07","46","101","33","15","21","21","5","0"
"Ranger Suarez","BOS","SP","166.8","148","11","0","3.66","1.24","68","160","48","17","28","28","8","0"
"Aroldis Chapman","BOS","RP","61.0","85","4","32","3.03","1.15","21","43","27","5","62","0","3","0"
"Trevor Rogers","BAL","SP","161.2","138","10","0","4.06","1.28","73","154","53","19","28","28","9","1"
"Chase Burns","CIN","SP,RP","127.1","152","8","0","3.67","1.16","52","108","39","17","28","24","7","1"
"MacKenzie Gore","TEX","SP","161.8","183","10","0","3.87","1.25","70","141","61","20","29","29","9","0"
"Bubba Chandler","PIT","SP","145.7","138","8","0","4.21","1.32","68","136","56","18","33","26","8","0"
"Emmet Sheehan","LAD","SP","136.2","158","8","0","3.84","1.16","58","111","46","19","35","24","6","0"
"Tanner Bibee","CLE","SP","178.9","167","11","0","3.94","1.22","78","165","53","24","31","31","10","1"
"Shota Imanaga","CHC","SP","152.8","138","9","0","4.09","1.16","69","143","34","27","27","27","8","0"
"Carlos Rodon","NYY","SP","149.0","156","10","0","3.99","1.21","66","127","54","21","26","26","8","0"
"Drew Rasmussen","TB","SP","158.7","142","10","0","3.65","1.17","64","144","42","19","30","30","8","0"
"Jack Flaherty","DET","SP","161.4","177","10","0","4.00","1.24","72","144","56","22","29","29","9","0"
"Devin Williams","NYM","RP","65.5","88","4","31","3.21","1.14","23","47","28","6","66","0","3","0"
"Cade Horton","CHC","SP","129.1","113","8","0","4.06","1.25","58","118","43","17","24","24","7","0"
"Aaron Nola","PHI","SP","168.6","165","10","0","4.14","1.22","78","160","45","25","29","29","9","0"
"Edward Cabrera","CHC","SP","137.0","147","9","0","3.90","1.24","59","116","54","16","26","26","7","0"
"Matthew Boyd","CHC","SP","161.3","145","10","0","3.92","1.21","70","149","46","21","29","29","9","0"
"Zac Gallen","","SP","179.2","170","12","0","4.13","1.27","82","169","59","24","31","31","10","0"
"Carlos Estevez","KC","RP","66.1","59","4","32","4.20","1.27","31","60","24","9","65","0","4","0"
"Merrill Kelly","ARI","SP","176.1","156","11","0","4.06","1.26","79","168","53","23","30","30","9","0"
"Shane Baz","BAL","SP","159.0","155","10","0","4.20","1.28","74","146","57","22","29","29","9","0"
"Raisel Iglesias","ATL","RP","67.2","72","4","27","3.62","1.13","27","58","18","8","66","0","3","0"
"Andrew Abbott","CIN","SP","166.0","151","10","0","4.18","1.26","77","157","52","26","29","29","9","1"
"Shane McClanahan","TB","SP","130.5","138","8","0","3.66","1.18","53","114","40","17","23","23","7","0"
"Jeff Hoffman","TOR","RP","63.9","76","4","26","3.68","1.17","26","52","23","9","64","0","3","0"
"Connelly Early","BOS","SP","53.8","56","3","0","3.72","1.26","22","47","21","5","23","7","3","0"
"Pete Fairbanks","MIA","RP","62.8","64","4","27","3.54","1.21","25","54","22","6","61","0","3","0"
"Trevor Megill","MIL","RP","65.0","80","4","17","3.45","1.18","25","53","23","7","63","0","3","0"
"Daniel Palencia","CHC","RP","66.6","76","4","28","3.70","1.25","27","55","28","7","64","0","3","0"
"Ryan Helsley","BAL","RP","64.7","74","4","27","3.55","1.22","26","55","24","7","63","0","3","0"
"Kris Bubic","KC","SP","138.8","135","9","0","3.72","1.25","57","128","46","14","30","24","7","0"
"Bryce Miller","SEA","SP","143.3","127","9","0","4.16","1.21","66","132","42","21","26","26","8","0"
"Emilio Pagan","CIN","RP","66.9","73","3","27","3.96","1.18","29","56","23","10","66","0","3","0"
"Kenley Jansen","DET","RP","59.8","60","4","24","3.92","1.20","26","50","21","8","59","0","3","0"
"Casey Mize","DET","SP","153.1","133","9","0","4.10","1.26","70","150","42","20","29","29","9","0"
"Roki Sasaki","LAD","SP","119.7","117","7","0","4.22","1.31","56","109","48","15","35","19","6","1"
"Ryne Nelson","ARI","SP,RP","160.3","131","9","0","4.20","1.26","75","158","44","21","29","29","8","0"
"Noah Cameron","KC","SP","146.0","124","8","0","4.19","1.30","68","141","48","20","27","27","8","0"
"Shane Smith","CWS","SP","159.5","150","8","0","4.28","1.29","76","145","60","21","29","29","10","0"
"Hurston Waldrep","ATL","SP","139.1","122","9","0","4.46","1.43","69","135","63","16","26","26","8","0"
"Joe Musgrove","SD","SP","148.9","141","9","0","3.92","1.20","65","140","39","20","27","27","8","0"
"Dennis Santana","PIT","RP","68.9","64","4","24","3.94","1.26","30","63","24","7","68","0","3","0"
"David Peterson","NYM","SP","163.4","146","10","0","3.92","1.34","71","157","62","16","29","29","8","1"
"Jose Soriano","LAA","SP","169.8","155","10","0","3.82","1.33","72","154","72","14","31","31","9","0"
"Gerrit Cole","NYY","SP","121.2","122","8","0","3.85","1.17","52","107","35","17","21","21","6","1"
"Reese Olson","DET","SP","131.8","123","8","0","3.89","1.24","57","120","44","15","29","24","7","0"
"Sean Manaea","NYM","SP,RP","127.9","132","8","0","4.15","1.21","59","114","41","18","34","22","7","0"
"Brady Singer","CIN","SP","169.6","157","10","0","4.33","1.29","82","165","55","24","31","31","11","0"
"Ryan Walker","SF","RP","64.1","68","4","27","3.41","1.19","24","56","20","6","63","0","3","0"
"Quinn Priester","MIL","SP,RP","163.2","135","10","0","4.11","1.30","75","158","54","19","29","29","9","0"
"Yusei Kikuchi","LAA","SP","168.9","169","9","0","4.27","1.32","80","162","60","25","31","31","10","0"
"Tatsuya Imai","HOU","SP","146.4","148","8","0","4.31","1.33","70","131","64","19","26","26","8","3"
"Michael Wacha","KC","SP","167.4","129","10","0","4.28","1.28","80","166","49","22","29","29","10","0"
"Logan Henderson","MIL","SP","127.1","128","7","0","4.16","1.21","59","115","40","20","34","22","7","0"
"Mitch Keller","PIT","SP","175.5","152","10","0","4.30","1.29","84","174","53","22","31","31","11","0"
"Jack Leiter","TEX","SP","151.5","146","9","0","4.33","1.31","73","136","62","21","28","28","9","0"
"Abner Uribe","MIL","RP","72.3","85","4","18","3.06","1.20","25","55","32","5","73","0","3","0"
"Brandon Pfaadt","ARI","SP","171.4","150","10","0","4.39","1.26","84","176","41","24","31","31","10","0"
"Robert Suarez","ATL","RP","67.9","70","4","9","3.58","1.17","27","59","21","8","67","0","3","0"
"Kodai Senga","NYM","SP","114.6","115","7","0","3.96","1.31","50","100","50","14","28","20","6","0"
"Grayson Rodriguez","LAA","SP","121.1","129","7","0","3.93","1.24","53","110","40","16","22","22","7","0"
"Griffin Jax","TB","RP","68.6","86","4","15","3.06","1.10","23","56","19","7","68","0","3","0"
"Brayan Bello","BOS","SP","157.9","129","10","0","4.25","1.34","75","157","56","18","28","28","9","0"
"Zach Eflin","BAL","SP","143.2","110","9","0","4.36","1.24","69","149","29","22","26","26","8","0"
"Clay Holmes","NYM","SP","151.2","122","10","0","3.95","1.34","66","146","58","14","28","28","8","0"
"Parker Messick","CLE","SP","119.4","111","7","0","4.07","1.30","54","114","41","15","23","22","7","0"
"Chris Bassitt","","SP","159.8","145","10","0","4.21","1.32","75","156","56","21","29","29","9","1"
"Ryan Weathers","NYY","SP","122.0","115","7","0","4.11","1.27","56","112","43","17","33","21","7","0"
"Cade Cavalli","WSH","SP","137.3","116","7","0","4.27","1.34","65","135","49","16","26","26","9","0"
"Reid Detmers","LAA","RP","138.9","154","8","0","4.18","1.27","64","125","51","19","31","24","8","0"
"Luis Severino","ATH","SP","175.3","139","9","0","4.60","1.34","90","177","57","24","30","30","11","0"
"Seth Lugo","KC","SP","162.2","135","9","0","4.39","1.32","79","161","53","23","28","28","9","0"
"Edwin Uceta","TB","RP","72.0","86","4","13","3.78","1.20","30","60","27","10","68","0","4","0"
"Will Warren","NYY","SP","124.7","122","7","0","4.32","1.31","60","119","45","17","36","21","7","0"
"Jose Berrios","TOR","SP","134.0","112","7","0","4.40","1.30","66","132","42","20","38","20","7","0"
"Jameson Taillon","CHC","SP","154.8","119","9","0","4.46","1.24","77","155","38","25","27","27","9","0"
"Bryan Abreu","HOU","RP","68.9","91","4","4","3.16","1.18","24","52","29","7","68","0","3","0"
"Joey Cantillo","CLE","SP,RP","132.9","140","7","0","3.88","1.31","57","116","57","16","42","21","7","0"
"Grant Taylor","CWS","RP","76.6","91","4","5","3.31","1.19","28","62","29","6","70","1","4","0"
"Reynaldo Lopez","ATL","SP","120.8","122","7","0","3.92","1.26","53","110","42","15","31","21","6","0"
"Will Vest","DET","RP","68.1","69","4","7","3.38","1.20","26","60","21","6","66","0","3","0"
"Braxton Ashcraft","PIT","SP,RP","131.3","118","7","0","3.91","1.29","57","128","41","14","37","22","7","0"
"Eduardo Rodriguez","ARI","SP","140.0","123","8","0","4.42","1.37","69","141","50","19","26","26","9","0"
"Troy Melton","DET","SP,RP","107.8","95","5","0","4.26","1.28","51","104","35","15","35","17","6","0"
"Tyler Mahle","SF","SP","130.7","106","8","0","4.12","1.28","60","127","41","16","25","25","8","0"
"Payton Tolle","BOS","SP,RP","54.9","58","3","0","4.04","1.25","25","49","19","8","30","5","3","0"
"Jeffrey Springs","ATH","SP","166.8","141","9","0","4.61","1.31","85","166","53","28","31","31","11","0"
"Seranthony Dominguez","CWS","RP","63.3","72","3","15","3.93","1.30","28","53","29","8","65","0","4","0"
"Robert Garcia","TEX","RP","63.9","69","4","19","3.64","1.23","26","56","23","7","65","0","3","0"
"Riley O'Brien","STL","RP","63.8","65","3","16","3.68","1.31","26","55","28","5","62","0","3","0"
"Jonah Tong","NYM","SP","31.9","37","2","0","3.58","1.24","13","26","14","3","12","5","2","0"
"Cody Ponce","TOR","SP,RP","141.3","144","8","0","4.12","1.25","65","131","46","19","35","23","8","0"
"Tanner Scott","LAD","RP","65.0","73","4","4","3.53","1.22","25","54","25","7","63","0","3","0"
"Ian Seymour","TB","SP,RP","110.7","106","6","0","4.14","1.24","51","103","34","16","31","18","6","0"
"Zebby Matthews","MIN","SP","119.2","117","7","0","4.09","1.23","54","117","30","17","33","20","6","0"
"Robert Stephenson","LAA","RP","57.9","65","3","12","4.00","1.19","26","50","19","9","55","0","3","0"
"Bailey Ober","MIN","SP","142.4","129","8","0","4.35","1.20","69","138","34","24","31","24","8","1"
"Michael McGreevy","STL","SP","142.6","98","8","0","4.13","1.28","65","148","35","16","29","24","8","0"
"Lucas Giolito","","SP","151.6","136","8","0","4.70","1.37","79","149","59","24","28","28","10","0"
"Chad Patrick","MIL","SP","136.5","128","8","0","4.33","1.28","66","129","45","21","26","26","8","0"
"Matthew Liberatore","STL","SP","145.9","119","8","0","4.39","1.31","71","146","46","19","28","28","10","0"
"Mike Burrows","HOU","SP,RP","129.1","128","7","0","4.13","1.26","59","118","44","19","30","24","7","0"
"Jacob Lopez","ATH","SP","128.1","134","7","0","4.30","1.29","61","114","51","19","24","24","8","0"
"Justin Steele","CHC","SP","84.2","80","6","0","3.63","1.18","34","77","23","9","16","16","4","0"
"Robby Snelling","MIA","SP","101.4","89","6","0","4.15","1.34","47","99","36","12","19","19","6","0"
"Kirby Yates","LAA","RP","56.4","67","3","9","3.98","1.28","25","46","26","8","55","0","3","0"
"Andrew Painter","PHI","SP","114.1","100","6","0","4.68","1.38","59","116","42","18","28","21","7","0"
"Landen Roupp","SF","SP","122.6","114","7","0","4.09","1.34","56","116","48","13","29","23","7","0"
"Dean Kremer","BAL","SP","154.0","130","9","0","4.46","1.30","76","152","48","23","28","28","9","0"
"Cristian Javier","HOU","SP","143.1","130","8","0","4.73","1.34","75","131","60","23","27","27","9","0"
"Kyle Finnegan","DET","RP","64.1","61","4","4","3.84","1.27","27","59","23","7","63","0","4","0"
